"id","company_id","wall_sanding_filling","wall_priming","wall_one_coat","wall_two_coats","ceiling_sanding_filling","ceiling_priming","ceiling_one_coat","ceiling_two_coats","wall_sanding_light","wall_sanding_medium","wall_sanding_heavy","wall_priming_one_coat","wall_priming_two_coat","wall_painting_one_coat","wall_painting_two_coat","wall_painting_three_coat","ceiling_preparation_light","ceiling_preparation_medium","ceiling_preparation_heavy","ceiling_painting_one_coat","ceiling_painting_two_coat","interior_doors_easy_prep","interior_doors_medium_prep","interior_doors_heavy_prep","interior_fixed_windows_small","interior_fixed_windows_medium","interior_fixed_windows_big","interior_turn_windows_small","interior_turn_windows_medium","interior_turn_windows_big","interior_stairs","interior_radiators","interior_skirting_boards","interior_other_items","exterior_doors_front_door","exterior_doors_garage_door","exterior_doors_outside_door","exterior_fixed_windows_small","exterior_fixed_windows_medium","exterior_fixed_windows_big","exterior_turn_windows_small","exterior_turn_windows_medium","exterior_turn_windows_big","exterior_dormer_windows_small","exterior_dormer_windows_medium","exterior_dormer_windows_large","exterior_fascia_boards","exterior_rain_pipe","exterior_other_items","special_water_damage","special_fire_smoke_damage","special_mold_remediation","special_nicotine_stained_walls","special_uneven_wall_surfaces","woodwork_level_1","woodwork_level_2","woodwork_level_3","woodwork_level_4","cleanup_fee","materials_markup","created_at","updated_at","created_by"
1,2,"5","4.5","6","9.5","4","5.5","5.5","8.5","5","8","12","4.5","7","6","9.5","13","4","7","11","5.5","8.5","75","85","100","35","45","60","45","55","70","25","35","12","10","150","200","120","55","65","80","65","75","90","110","120","140","18","15","15","150","200","180","120","250","45","65","95","150","150","0.15","2025-07-12 18:29:43.841477","2025-07-12 18:29:43.841482",NULL
2,3,"5","4.5","6","9.5","4","5.5","5.5","8.5","5","8","12","4.5","7","6","9.5","13","4","7","11","5.5","8.5","75","85","100","35","45","60","45","55","70","25","35","12","10","150","200","120","55","65","80","65","75","90","110","120","140","18","15","15","150","200","180","120","250","45","65","95","150","150","0.15","2025-07-13 07:59:08.65009","2025-07-13 07:59:08.650095",NULL
